time_s,right_hip_joint_Nm,left_hip_joint_Nm,right_thigh_joint_Nm,left_thigh_joint_Nm,right_shank_joint_Nm,left_shank_joint_Nm,right_foot_joint_Nm,left_foot_joint_Nm,right_wheel_joint_Nm,left_wheel_joint_Nm,left_foot_lower_left_Fx_world_N,left_foot_lower_left_Fy_world_N,left_foot_lower_left_Fz_world_N,left_foot_lower_right_Fx_world_N,left_foot_lower_right_Fy_world_N,left_foot_lower_right_Fz_world_N,left_foot_upper_left_Fx_world_N,left_foot_upper_left_Fy_world_N,left_foot_upper_left_Fz_world_N,left_foot_upper_right_Fx_world_N,left_foot_upper_right_Fy_world_N,left_foot_upper_right_Fz_world_N,left_wheel_contact_link_Fx_world_N,left_wheel_contact_link_Fy_world_N,left_wheel_contact_link_Fz_world_N,right_foot_lower_left_Fx_world_N,right_foot_lower_left_Fy_world_N,right_foot_lower_left_Fz_world_N,right_foot_lower_right_Fx_world_N,right_foot_lower_right_Fy_world_N,right_foot_lower_right_Fz_world_N,right_foot_upper_left_Fx_world_N,right_foot_upper_left_Fy_world_N,right_foot_upper_left_Fz_world_N,right_foot_upper_right_Fx_world_N,right_foot_upper_right_Fy_world_N,right_foot_upper_right_Fz_world_N,right_wheel_contact_link_Fx_world_N,right_wheel_contact_link_Fy_world_N,right_wheel_contact_link_Fz_world_N
0.000000000000000000e+00,-6.894776254763929302e+00,6.913258934559642022e+00,-6.238171572178545787e+00,6.130332666194762581e+00,-1.106468077039068021e+01,1.076157393538228391e+01,-2.818332463092414475e+00,2.799081426187933097e+00,4.806130682372492316e-03,-6.151488149356844695e-03,-5.806065348388124159e-01,-1.585312740204020132e-01,1.386909565226155294e+01,-5.935470826103607100e-01,-1.600908297549332726e-01,1.391596618545911923e+01,-2.347137467113762366e+00,-2.334050968202169285e-01,3.854134620226242447e+01,-2.322607202525197145e+00,-2.286454769701626311e-01,3.858627272734337765e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.548572883696114122e-01,2.586723950461533236e-02,1.416461586646726012e+01,-7.734792684099690563e-01,2.624578211026960123e-02,1.419887784241609552e+01,-2.064769156699701291e+00,5.147253409320531325e-01,3.885263208336313312e+01,-2.015045476223222831e+00,5.166114077933644522e-01,3.889575252857517995e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,-7.772648121424704293e+00,7.788948752231172890e+00,-7.004790585101089206e+00,6.990987446975468700e+00,-1.340439435953688552e+01,1.325297965518918630e+01,-2.345562089077888768e+00,2.343113223955304747e+00,2.156078415708766183e-02,-2.214673915009778699e-02,-3.999378274170924397e-01,-1.542520116803601515e-01,1.901692812799652899e+01,-4.047489230146111838e-01,-1.549423042516695770e-01,1.904848104251382068e+01,-1.710755703159190455e+00,-3.524277158913861063e-01,3.931163852385574131e+01,-1.700314468218466546e+00,-3.513434109325258570e-01,3.933632791554825303e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.639102388329919280e-01,1.064838301989501079e-01,1.923377091923519444e+01,-4.695727636402480809e-01,1.072987156881500398e-01,1.926392206951503283e+01,-1.588896684015102201e+00,5.029440386813998076e-01,3.948392695929137375e+01,-1.576250413724070487e+00,5.020787048313531953e-01,3.950802043008669528e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,-8.610682292348343481e+00,8.620381603361463974e+00,-8.216419837498957435e+00,8.298807294349197505e+00,-1.701561201799144740e+01,1.705037294947668869e+01,-2.076952803635472744e+00,2.082182362847002643e+00,8.485479918541099717e-03,-8.341522984549040037e-03,-9.981801439194076808e-02,-1.538742795119985574e-01,2.263264237122530886e+01,-9.677310254400028899e-02,-1.542906142353240584e-01,2.263986297810761883e+01,-5.096134948102672979e-01,-4.842083374276071051e-01,3.930813729367983456e+01,-5.156126239045393245e-01,-4.844523906381134060e-01,3.931032312020481356e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.099004467567587351e-02,1.789955039798540870e-01,2.268225228692663720e+01,-8.175837387868123418e-02,1.789848387877035485e-01,2.268923019372667582e+01,-5.298217529224855671e-01,4.834201789744376199e-01,3.932363577758151507e+01,-5.407721026968229650e-01,4.812280071597495046e-01,3.932578074761446629e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,-9.023157164891255633e+00,9.027961898085418824e+00,-8.673977349469993214e+00,8.860705826278561403e+00,-1.899270659532912120e+01,1.922228441083044714e+01,-1.753442368918438188e+00,1.765711775143120610e+00,5.440172446891688648e-03,-4.783097275556383310e-03,-4.543055450128727856e-04,-1.758410609354474630e-01,2.526610191833548313e+01,2.990092736083758800e-03,-1.760872975348787561e-01,2.524712985502828388e+01,-4.017674416737280346e-02,-5.519040355227922134e-01,3.890102378315224030e+01,-5.950550801048076072e-02,-5.518464029221415990e-01,3.888063542105689407e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.801129001470802959e-02,2.142191629034121969e-01,2.513158947664667409e+01,3.286029953086597177e-02,2.123045732262505980e-01,2.511218226461040004e+01,-1.545801034228419524e-01,4.536155673537531352e-01,3.875814374160903242e+01,-1.738232691313204847e-01,4.523802956096468764e-01,3.873791419353472065e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,-9.239652340151772947e+00,9.238248177926996263e+00,-8.860342646020271218e+00,9.180459679936291195e+00,-2.027927773884762530e+01,2.073687259778429137e+01,-1.447935009476724488e+00,1.472024997107061139e+00,3.686884819352199451e-03,-2.555955487427432563e-03,9.114389118686157254e-02,-2.255976576302697045e-01,2.718347910765991671e+01,8.341384682933269956e-02,-2.251755691611886101e-01,2.713575222684064414e+01,1.638682653126382893e-01,-5.782770606472045216e-01,3.825026696025206974e+01,1.359967310387400485e-01,-5.775374260192979170e-01,3.820448712420159865e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.054070516222049614e-02,2.246469415862101804e-01,2.684641612015198220e+01,5.870083262262806856e-02,2.220608956204447593e-01,2.679796039370427607e+01,-6.406255298031131480e-03,4.200341673349610172e-01,3.792899741743480035e+01,-2.301858786711989679e-02,4.223720478490735619e-01,3.788349589058274347e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,-9.325593577080431018e+00,9.324955015013713933e+00,-8.946381177116476735e+00,9.281430465805886598e+00,-2.124033021421511691e+01,2.173282095075708042e+01,-1.175932233478744093e+00,1.200624724189629289e+00,2.111749698695807378e-03,-1.064542612027339318e-03,1.315313375348014791e-01,-2.803044054605735580e-01,2.851116090439348127e+01,1.165049405044005365e-01,-2.794561586512300244e-01,2.845785496553485316e+01,1.965886178142994822e-01,-5.556336683617754124e-01,3.741062591897466660e+01,1.759801043783659480e-01,-5.555162317778253867e-01,3.736140505391423261e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.939787190063174072e-02,2.393573258305713158e-01,2.813417486069093698e+01,4.671183054928794431e-02,2.379134369613166433e-01,2.807998925900804110e+01,5.597413653871071565e-02,4.175516468055031072e-01,3.706403312399710614e+01,4.817713916383447453e-02,4.225639381301585229e-01,3.701496599336661575e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,-9.351268675492406146e+00,9.357778158041544003e+00,-9.015868466899188860e+00,9.206999989780115357e+00,-2.209003760815970807e+01,2.236528829559514620e+01,-9.424199968841018293e-01,9.506658201070730119e-01,5.172201828046870623e-04,-9.717778497995897228e-05,7.813984810349032528e-02,-3.042482617007417622e-01,2.941106789115410791e+01,6.871953859467973269e-02,-3.029300881558994463e-01,2.938017928601727746e+01,1.443949122435087273e-01,-5.081640060033769668e-01,3.649209265237931987e+01,1.356938452420094754e-01,-5.086746972918874121e-01,3.646600237042328985e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.507690378590969993e-02,2.845482535125218870e-01,2.919014946144624290e+01,3.873825049365181572e-02,2.835836225101543429e-01,2.915806224025206816e+01,8.391605698758590470e-02,4.311692321953334850e-01,3.630499972776156881e+01,7.800799410046757587e-02,4.330940891267216486e-01,3.627826179918059779e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.499999999999999778e-01,-9.367820551584266298e+00,9.381085831498097605e+00,-9.053566927269779185e+00,9.065107497587471030e+00,-2.285586370408640633e+01,2.283121548752790275e+01,-7.401653717210574523e-01,7.285484899642136192e-01,-6.003036290051496715e-04,3.175285714978030470e-04,-1.787042274262694644e-02,-3.065792304729594298e-01,3.007126222532787452e+01,-1.896915061555207171e-02,-3.049888375698735499e-01,3.007289986968141449e+01,5.045264905480856960e-02,-4.536265181438894345e-01,3.564051645616536490e+01,5.010467958252533965e-02,-4.536223313595284523e-01,3.564612658918635901e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.461348294233639697e-02,3.301122266937961958e-01,3.007777242615182800e+01,1.652709603347495698e-02,3.288864630360107122e-01,3.007794388178715295e+01,7.415346857124477387e-02,4.520125331956766357e-01,3.567460843719628372e+01,7.286700255367725698e-02,4.508548541530320031e-01,3.567911544022791759e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.999999999999999667e-01,-9.407995421509232514e+00,9.419964258963082315e+00,-9.029524268254782271e+00,9.001267487597880645e+00,-2.345779443823226984e+01,2.332527246143801847e+01,-5.602726095219539015e-01,5.464882791459131361e-01,-4.935289603029918790e-04,1.875291228813074309e-05,-6.600404348179177150e-02,-3.218959561799021873e-01,3.065705714933114479e+01,-6.226174301677591533e-02,-3.224059014455414873e-01,3.067204886234507200e+01,-5.275735249144274108e-02,-3.960743312259139559e-01,3.498071746247774172e+01,-4.024872965028884753e-02,-3.982083933693340572e-01,3.499811955649106920e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.230415382921221878e-02,3.255323075433864677e-01,3.076130419581961206e+01,-5.231430031475908793e-02,3.249070689792202815e-01,3.077606790824263783e+01,2.046991752268860140e-02,4.633116764381507990e-01,3.510162527843035463e+01,2.872422718647060780e-02,4.617463910929695547e-01,3.511903622772093314e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.499999999999999556e-01,-9.466469753595617931e+00,9.474601575241875295e+00,-9.041914061854404494e+00,9.019377897744277561e+00,-2.396766218941429472e+01,2.382369994538940716e+01,-4.114526411202700795e-01,4.004509685090130722e-01,8.774547674735181735e-04,-1.307368018252638492e-03,-8.777459745889353016e-02,-3.171135571995555846e-01,3.114660036644964691e+01,-7.755288074899188699e-02,-3.205009978350584210e-01,3.116331962618349749e+01,-1.368306615350764754e-01,-3.550044992227343044e-01,3.445491753239346622e+01,-1.190920099850598379e-01,-3.607985620005331739e-01,3.447269713390281964e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.843570438332450601e-02,3.102974699605456355e-01,3.126829653044273272e+01,-8.201402831434288776e-02,3.090905255236253146e-01,3.128634752200526847e+01,-6.218067502260488794e-02,4.416321935036285340e-01,3.458377803711843512e+01,-5.470155696575398907e-02,4.386840533134420128e-01,3.460291897576632891e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
