tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,
-2.53893,13.6424,7.05012,8.07144,-0.733279,4.86026,16.3857,-7.53079,0.0432192,0.0678842,4.24908,-1.51404,-12.2589,7.37485,-22.0269,17.8266,5.36752,-2.82393,-0.0659332,-0.0395622,-0.028038,0.00858307,-0.360685,0.389296,-2.09716,2.12158,-0.57927,0.526245,2.80327,-0.180629,-0.0560449,0.159554,-0.282554,0.479182,-2.10633,2.17578,-0.124357,0.316812,0,0,0.00610542,-0.0183144,-0.00610542,0.00610542,-0.0305252,0.00610542,-0.00488472,-0.00488472,0.0109901,-0.0109901,
-3.79267,16.1897,29.3401,2.47911,19.2057,11.3923,30.853,-7.42769,-0.0113356,-0.0619494,1.90475,3.85837,-1.80708,7.37485,-7.37485,8.35165,10.8513,-5.31282,-0.0131874,-0.0131874,-0.0291824,0.0104904,-0.357252,0.389677,-2.09182,2.11852,-0.576219,0.524719,2.80289,-0.180629,-0.0764108,0.197499,-0.0168024,0.41824,-1.8595,2.23473,0.299612,0.310336,0,0,-0.152626,0.213675,0.433455,0.0305252,0.567766,-0.311356,0.376068,-0.161173,-0.0109901,-0.0109901,
-13.9671,-11.0474,-20.1104,-30.851,20.2554,10.7249,28.4008,-15.8031,0.127505,-0.597474,-0.732605,6.20268,12.7473,3.66301,8.44933,11.8681,20.6564,-7.3641,-0.0395622,-0.0131874,-0.0436792,0.0528345,-0.321012,0.396162,-2.07084,2.10517,-0.534257,0.516708,2.80327,-0.180629,-0.21983,0.00354873,-0.464892,0.06131,-1.79552,2.20297,0.382371,0.0677225,0,0,-0.628815,2.20391,2.38706,0.238094,1.50794,-0.641026,2.55433,-0.200245,-0.0109901,-0.0109901,
18.8822,-56.0065,-60.0539,-33.438,-0.246441,22.7782,-14.4364,-17.188,0.571424,-0.625306,-8.44933,2.97925,-0.537247,-8.1563,15.9707,10.0122,21.8872,-11.8496,0.0131874,-0.303295,-0.0410089,0.0856409,-0.267986,0.386625,-2.02811,2.09831,-0.448043,0.514038,2.80251,-0.18101,0.1808,-0.494936,-0.87929,-0.014823,-1.9871,2.3459,-0.62903,0.0197439,0,0,0.360195,1.25153,1.67888,-0.897436,1.31258,-0.164835,4.40049,-0.336996,-0.0329666,-0.0109901,
6.06519,4.63555,-15.9915,18.996,-14.1871,7.71955,-15.647,3.26545,1.42816,-0.559764,3.85837,-19.7802,-26.9109,-9.5238,-2.78389,13.6264,-3.02906,-11.0427,0.303295,-0.619781,-0.0551233,0.0566492,-0.308423,0.300412,-1.98272,2.11128,-0.363737,0.485428,2.80327,-0.181392,-0.0147978,0.0306218,-0.585618,0.332195,-2.04288,2.23429,-0.527559,0.467466,0,0,-0.811966,-2.32601,-2.98535,-5.37851,2.9243,1.11722,5.41636,-2.17338,-0.0109901,-0.0549469,
-21.5727,39.378,-12.0014,41.7129,-23.8297,11.7037,-2.19004,10.7276,1.43568,-0.622607,16.2637,-24.3712,-24.7619,-0.732605,-21.0501,9.62149,-5.73675,-3.98632,0.197803,-0.646152,-0.0322351,-0.0505457,-0.430114,0.168803,-1.90719,2.15133,-0.358778,0.414855,2.80671,-0.181392,-0.236726,0.192238,-0.702046,0.460729,-2.02239,2.32838,-0.477,0.579755,0,0,1.05617,-5.84249,-4.15751,-5.14652,4.48718,1.41026,-1.14774,-2.66178,0.56044,-0.0109901,
9.45855,0.665471,-44.5111,37.5216,-77.2538,17.1328,-8.04324,-0.81756,-0.0931517,-0.511192,-1.41637,5.1282,-16.2637,18.8034,-24.2735,17.2405,-0.553846,-2.08547,0.698902,-0.725273,-0.0761042,-0.0185013,-0.43698,0.189784,-1.82784,2.14523,-0.402266,0.453002,2.82883,-0.179866,-0.0253437,0.0798574,-0.962276,0.649629,-2.58833,2.3069,-0.727032,0.579987,0,0,-1.63004,2.72894,-0.921856,1.28816,2.93651,-0.860806,-2.02686,2.99389,1.21978,0.0109901,
-10.2452,10.7353,-31.0672,22.9121,-79.1079,22.9709,-12.4108,3.44561,-0.222527,-0.40978,-12.6496,5.03052,-28.1807,34.6276,-61.1966,23.1013,-5.01197,-4.83419,-0.145054,-0.619781,-0.0722895,0.0219345,-0.480087,0.194362,-1.80686,2.12234,-0.425536,0.510986,2.84981,-0.18101,-0.152954,0.217936,-0.927232,0.449144,-2.66854,2.32975,-0.850135,0.814512,0,0,0.995115,2.30159,-3.05861,0.00610542,0.518925,-1.43468,-1.59707,4.15629,1.54945,-0.252747,
-31.1041,15.3332,-17.6309,6.19226,-40.2144,36.2684,-3.5487,7.85009,-0.707971,-0.580766,-10.2076,2.78389,-26.4225,23.0037,-56.9963,32.4786,-5.46325,0.608547,-0.672527,-0.567032,0.0173569,0.0379572,-0.568589,0.241665,-1.87667,2.04871,-0.491531,0.590333,2.91047,-0.181392,-0.230361,0.226844,-0.875395,0.413235,-2.46696,2.33265,-0.736871,0.906804,0,0,2.93651,0.555555,-3.32723,3.08303,-4.30403,-3.57143,-2.93529,1.96825,2.62637,-0.0109901,
-12.6953,-3.59513,-27.103,21.8338,-38.3123,54.3851,-10.6567,11.113,0.798534,-0.441836,-14.6032,7.96092,-25.1526,5.61661,-54.7497,38.7302,-11.6171,5.58633,1.12088,-0.619781,-0.0108719,0.0844965,-0.615129,0.305753,-1.93847,1.98081,-0.515945,0.631533,2.93755,-0.181773,-0.208707,0.118421,-0.9352,0.627919,-2.3432,2.49168,-0.764835,1.04743,0,0,-1.7033,2.21612,-0.567766,2.38706,0.628815,-2.8022,0.942614,2.14408,-0.186813,-0.0109901,
-1.90345,-17.6065,-14.4783,50.3513,2.82013,48.1967,-5.48465,10.2817,0.670302,0.0106704,-9.81685,9.71918,-24.9573,12.3565,-41.2698,45.0794,-7.48718,6.68034,0.118683,-0.382416,-0.0581751,0.0917444,-0.61017,0.336652,-1.92016,1.95029,-0.510605,0.683795,2.93832,-0.183681,-0.158893,-0.111413,-0.780605,0.949224,-1.87682,2.46892,-0.68176,1.10542,0,0,-2.38706,-0.225885,-0.286936,1.59341,0.360195,-0.506716,-0.376068,2.72039,0.56044,-0.274727,
10.167,-22.1645,39.9533,68.8488,61.3415,44.9922,-0.991002,10.8085,0.953638,0.170131,-8.44933,6.10501,-14.9939,31.6972,-21.0501,46.1538,-7.77436,10.7145,0.540661,-0.435165,-0.0795374,0.0658045,-0.647173,0.356871,-1.90719,1.9564,-0.513657,0.721943,2.94442,-0.186351,0.0022935,-0.230325,-0.279153,1.14445,-1.17576,2.4675,-0.541429,1.10741,0,0,-0.934067,-1.49573,-2.27717,0.677656,1.49573,0.335775,-0.00488472,1.70452,0.20879,-0.0329666,
14.9979,4.22667,13.761,23.6229,-8.04828,2.82802,-13.4492,1.9064,1.15321,0.0515526,4.73749,-6.78877,24.3712,48.1075,30.6227,46.3492,-1.88034,11.5897,0.672527,-0.0659332,-0.106241,-0.00591278,-0.694858,0.428969,-1.83776,1.95678,-0.51976,0.744831,2.9551,-0.186351,0.0178701,-0.0792185,-0.587745,0.831658,-1.7711,1.98352,-0.912152,0.843452,0,0,-1.27595,-3.60806,-1.37363,4.20635,4.68254,-0.140415,-0.376068,0.913309,0.472527,0.0109901,
-1.81309,-2.11355,25.6916,34.0715,18.1852,40.0924,-6.8068,5.23022,1.23179,-0.0535514,8.44933,-14.8962,41.2698,47.619,26.1294,36.8742,-1.81197,10.6598,0.857143,0.0131874,-0.112726,-0.0429163,-0.718509,0.506409,-1.76833,1.93542,-0.530441,0.746738,2.95739,-0.185206,-0.127377,-0.110153,-0.517092,1.01013,-1.47205,2.31882,-0.762254,0.885429,0,0,0.164835,-1.31258,-2.52137,3.75458,2.82662,-1.86203,-0.8547,-0.131868,0.20879,0.12088,
-9.78566,3.75962,-0.415704,3.45535,3.64321,48.0835,-0.873562,6.8424,1.18469,0.0176842,-1.61172,-3.56532,20.2686,24.9573,12.3565,42.8327,-1.15556,5.20342,1.12088,0.0659332,-0.0787745,-0.0432978,-0.766956,0.581941,-1.72179,1.86751,-0.608644,0.734913,2.95968,-0.181773,-0.156368,-0.0163798,-0.770558,0.756475,-1.59401,2.34052,-0.821677,0.92034,0,0,0.934067,-0.445665,0.0305252,4.08425,2.61905,-1.83761,-3.77534,-0.0927963,0.252747,-0.0329666,
3.76364,11.5266,-0.119792,2.11403,-37.811,12.8743,-3.20365,3.20505,1.4315,0.105957,-4.6398,3.07692,13.8217,21.8315,9.03542,45.2747,0.512821,7.95214,1.17363,-0.0395622,-0.0875483,-0.0623713,-0.745213,0.644884,-1.68135,1.84958,-0.66434,0.726521,2.9654,-0.18101,-0.0711675,0.018286,-0.693837,0.81062,-2.01417,1.95295,-0.919142,0.778187,0,0,-0.763126,-1.42247,1.5812,4.2674,2.61905,-1.19048,-3.31624,-0.747253,0.31868,0.0109901,
4.68846,7.22179,8.37215,19.908,-30.0424,19.3976,5.63824,1.76841,1.08842,0.278341,0.146515,5.71428,5.03052,14.4078,-23.7851,16.1661,-1.55214,4.39658,0.909889,0.118683,-0.0993748,-0.0715265,-0.762379,0.639925,-1.64816,1.83318,-0.729572,0.707828,2.98295,-0.180629,-0.0641713,0.0178731,-0.690722,0.837315,-2.00293,2.031,-0.701648,0.731309,0,0,-0.506716,0.274725,-0.641026,-0.714285,-0.628815,-0.531136,-2.57387,-0.512821,0.824177,-0.164837,
-6.91489,8.99085,-17.3637,-4.60956,-36.8038,19.5616,25.7663,-4.83035,0.468538,0.279647,-0.830276,5.32356,-2.78389,12.3565,-29.0598,23.2967,7.50085,2.33162,0.382416,0.118683,-0.0879297,-0.0585566,-0.739491,0.650225,-1.66037,1.81449,-0.779545,0.701724,3.00774,-0.18101,-0.132405,0.0675933,-0.862213,0.629736,-2.08823,1.98809,-0.210578,0.55314,0,0,0.970695,0.787546,2.10623,0.921856,-0.567766,-1.31258,-2.93529,-0.288157,1.68132,-0.0988998,
-8.23759,11.9028,-37.0365,-20.8303,-63.9019,20.9584,9.77277,-3.08573,-0.245639,0.292422,-5.61661,6.98413,-15.7753,-2.97925,-37.851,22.3199,14.9675,-2.14017,0.171429,0.197803,-0.0608454,-0.0459681,-0.682269,0.69028,-1.65999,1.77787,-0.828374,0.695621,3.0581,-0.180629,-0.123274,0.103989,-1.03864,0.513574,-2.36045,1.96332,-0.583038,0.593544,0,0,0.873016,0.531136,1.65446,1.64225,0.286936,-1.42247,-0.522589,-0.327229,2.25275,-0.0549469,
-9.2343,13.9496,-26.23,5.31727,-59.3014,43.2806,-15.3088,7.74698,-0.348751,0.0376771,-4.73749,5.32356,-25.641,-6.69109,-57.6801,20.8547,3.76752,-2.09915,0.224174,0.0659332,-0.0677118,-0.0181198,-0.685321,0.676929,-1.66114,1.75574,-0.735294,0.676166,3.10502,-0.179866,-0.187206,0.19121,-0.994877,0.68778,-2.33083,2.20469,-0.890698,0.838857,0,0,-0.506716,1.63004,-0.543346,-1.44689,-0.323565,-0.958487,5.39683,-1.05006,2.05495,0.20879,
-4.12877,15.3734,-28.2323,10.3692,-56.369,28.8034,-7.35594,7.03294,-0.259359,0.225096,-3.85837,16.1661,-32.0879,5.90965,-62.3687,31.5018,0.403419,1.71624,0.118683,0.276924,-0.0833521,-0.00858307,-0.685321,0.612078,-1.65923,1.76833,-0.718127,0.673495,3.14736,-0.181392,-0.164026,0.146563,-0.968285,0.630628,-2.27354,2.13578,-0.975939,0.889123,0,0,-1.04396,-0.470085,0.921856,-2.89988,0.360195,1.42247,-1.0696,0.405373,1.50549,-0.164837,
10.8254,7.95089,-30.4309,14.0379,-73.3852,10.3479,-5.30821,1.35039,-0.303595,0.0291908,-5.71428,18.8034,-31.4041,8.05861,-56.6056,25.9341,-1.86667,4.34188,0.0395622,0.118683,-0.102427,-0.028038,-0.657092,0.586518,-1.65541,1.79809,-0.751316,0.689517,3.1672,-0.180247,-0.001884,0.0336466,-0.953903,0.708918,-2.46572,1.98368,-1.01965,0.784415,0,0,-0.592186,-0.799755,1.23932,-1.00733,0.152626,2.11844,-2.41758,1.14774,1.3956,0.12088,
10.3328,-0.166976,-18.3872,14.1729,-61.5217,5.87315,5.79957,-0.528749,-0.17128,0.214656,-3.27228,10.3053,-28.083,12.0635,-68.6203,13.0403,-2.60513,3.75385,0.0395622,0.0659332,-0.0936518,-0.0295639,-0.647936,0.565919,-1.65656,1.83623,-0.821889,0.708972,3.19238,-0.180629,0.0461876,-0.0279597,-0.845115,0.682085,-2.34278,1.9428,-0.823671,0.716995,0,0,0.750916,0.103785,0.213675,-1.23932,-0.0793648,1.23932,-3.25763,0.454212,0.978024,-0.0769234,
-5.01502,3.44694,-25.8691,-13.2245,-46.2309,12.7099,11.6415,-0.0634692,-0.273881,0.263451,1.51404,3.85837,-21.3431,7.76556,-59.0476,7.76556,-1.14188,1.45641,-0.0131874,0.0395622,-0.0478754,-0.0360498,-0.644121,0.573548,-1.67411,1.85035,-0.855459,0.705539,3.21336,-0.180629,-0.0297272,-0.0130131,-0.9167,0.454895,-2.22014,2.00642,-0.547469,0.689368,0,0,2.21612,-0.457876,0.445665,0.848597,-0.970695,0.445665,-0.307692,-0.288157,0.714287,0.0549469,
-7.51288,8.01336,-19.533,-14.9739,-38.487,12.291,5.354,-1.64857,-0.276398,0.357341,1.61172,1.90475,-24.1758,-7.76556,-46.5446,10.989,3.8359,0.909401,0.0659332,0.197803,-0.0207901,-0.0421534,-0.635347,0.601778,-1.69852,1.8595,-0.824941,0.696383,3.22557,-0.180629,-0.087376,0.0450525,-0.846887,0.462874,-2.15566,2.01215,-0.579759,0.622995,0,0,0.506716,-0.054945,0.164835,0.824175,-0.885225,0.482296,1.92918,-0.551893,0.42857,-0.0109901,
1.1328,9.40552,-1.07374,4.32036,-30.3148,7.32101,2.84498,-2.69202,-0.136875,0.424536,3.07692,5.32356,-17.9243,-5.90965,-41.0745,6.88644,3.91795,-0.0341873,-0.0395622,0.224174,-0.0406275,-0.0371943,-0.642977,0.581941,-1.70386,1.87896,-0.786412,0.686465,3.229,-0.180629,-0.0774913,0.07362,-0.675461,0.582529,-2.04781,2.00812,-0.570877,0.576766,0,0,-1.48352,0.189255,-0.616606,-1.42247,-0.213675,1.43468,2.73016,-0.698412,0.164837,0.0329666,
